Geoid20,Geoid20 (group) 11
60750226002018,Dogpatch
60750226002017,Dogpatch
60750226002016,Dogpatch
60750226002015,Dogpatch
60750226002014,Dogpatch
60750226002013,Dogpatch
60750226002012,Dogpatch
60750226002011,Dogpatch
60750226002010,Dogpatch
60750226002009,Dogpatch
60750226002008,Dogpatch
60750226002007,Dogpatch
60750226002006,Dogpatch
60750226002005,Dogpatch
60750226002002,Dogpatch
60750226002001,Dogpatch
60750226001018,Dogpatch
60750226001017,Dogpatch
60750226001016,Dogpatch
60750226001012,Dogpatch
60750226001009,Dogpatch
60750226001008,Dogpatch
60750226001007,Dogpatch
60750226001006,Dogpatch
60750226001004,Dogpatch
60750226001003,Dogpatch
60750226001002,Dogpatch
60750226001001,Dogpatch
60750226001000,Dogpatch
60750607033006,Mission Bay
60750607033005,Mission Bay
60750607033004,Mission Bay
60750607033003,Mission Bay
60750607032002,Mission Bay
60750607032001,Mission Bay
60750607031002,Mission Bay
60750607031001,Mission Bay
60750607013015,Mission Bay
60750607013014,Mission Bay
60750607013013,Mission Bay
60750607013012,Mission Bay
60750607013011,Mission Bay
60750607013010,Mission Bay
60750607013009,Mission Bay
60750607013008,Mission Bay
60750607013007,Mission Bay
60750607013006,Mission Bay
60750607013005,Mission Bay
60750607013004,Mission Bay
60750607013003,Mission Bay
60750607013002,Mission Bay
60750607013001,Mission Bay
60750607012015,Mission Bay
60750607012014,Mission Bay
60750607012013,Mission Bay
60750607012012,Mission Bay
60750607012011,Mission Bay
60750607012010,Mission Bay
60750607012009,Mission Bay
60750607012008,Mission Bay
60750607012007,Mission Bay
60750607012006,Mission Bay
60750607012005,Mission Bay
60750607012004,Mission Bay
60750607012003,Mission Bay
60750607012002,Mission Bay
60750607012001,Mission Bay
60750607012000,Mission Bay
60750226002004,Mission Bay
60750226002003,Mission Bay
60750615083001,Other
60750615083000,Other
60750615082003,Other
60750615082002,Other
60750615082001,Other
60750615082000,Other
60750615081003,Other
60750615081002,Other
60750615081001,Other
60750615072001,Other
60750615071014,Other
60750615071013,Other
60750615071012,Other
60750615071011,Other
60750615071010,Other
60750615071009,Other
60750615071008,Other
60750615071007,Other
60750615071006,Other
60750615071005,Other
60750615071004,Other
60750615071003,Other
60750615071002,Other
60750615071001,Other
60750615063000,Other
60750615062000,Other
60750615061004,Other
60750615061003,Other
60750615061002,Other
60750615061001,Other
60750615061000,Other
60750615051000,Other
60750615042000,Other
60750615041001,Other
60750615041000,Other
60750615033001,Other
60750615033000,Other
60750615032002,Other
60750615032001,Other
60750615032000,Other
60750615031006,Other
60750615031005,Other
60750615031004,Other
60750615031003,Other
60750615031002,Other
60750615031001,Other
60750615031000,Other
60750615022011,Other
60750615022010,Other
60750615022009,Other
60750615022008,Other
60750615022007,Other
60750615022006,Other
60750615022005,Other
60750615022004,Other
60750615022003,Other
60750615022002,Other
60750615022001,Other
60750615022000,Other
60750615021001,Other
60750615021000,Other
60750615013009,Other
60750615013008,Other
60750615013007,Other
60750615013006,Other
60750615013005,Other
60750615013004,Other
60750615013003,Other
60750615013002,Other
60750615013001,Other
60750615013000,Other
60750615012006,Other
60750615012005,Other
60750615012004,Other
60750615012003,Other
60750615012002,Other
60750615012001,Other
60750615012000,Other
60750615011014,Other
60750615011013,Other
60750615011012,Other
60750615011011,Other
60750615011010,Other
60750615011009,Other
60750615011008,Other
60750615011007,Other
60750615011006,Other
60750615011005,Other
60750615011004,Other
60750615011003,Other
60750615011002,Other
60750615011001,Other
60750615011000,Other
60750607033007,Other
60750607033002,Other
60750607033001,Other
60750607033000,Other
60750607032000,Other
60750607031000,Other
60750607021026,Other
60750607021025,Other
60750607021022,Other
60750607021021,Other
60750607021020,Other
60750607021019,Other
60750607021018,Other
60750607021017,Other
60750607021016,Other
60750607021015,Other
60750607021014,Other
60750607021013,Other
60750607021012,Other
60750607021011,Other
60750607021010,Other
60750607021009,Other
60750607021008,Other
60750607021007,Other
60750607021006,Other
60750607021005,Other
60750607021004,Other
60750607021003,Other
60750607021002,Other
60750607021001,Other
60750607021000,Other
60750607011002,Other
60750607011001,Other
60750607011000,Other
60750201011007,Other
60750201011006,Other
60750180004021,Other
60750180004020,Other
60750180004019,Other
60750180004018,Other
60750180004017,Other
60750180004016,Other
60750180004015,Other
60750180004014,Other
60750180004013,Other
60750180004012,Other
60750180004011,Other
60750180004010,Other
60750180004009,Other
60750180004008,Other
60750180004007,Other
60750180004006,Other
60750180004005,Other
60750180004004,Other
60750180004003,Other
60750180004002,Other
60750180004001,Other
60750180004000,Other
60750180003002,Other
60750180003001,Other
60750180003000,Other
60750180002014,Other
60750180002013,Other
60750180002012,Other
60750180002011,Other
60750180002010,Other
60750180002009,Other
60750180002008,Other
60750180002007,Other
60750180002006,Other
60750180002005,Other
60750180002004,Other
60750180002003,Other
60750180002002,Other
60750180002001,Other
60750180002000,Other
60750180001007,Other
60750180001006,Other
60750180001005,Other
60750180001004,Other
60750180001003,Other
60750180001002,Other
60750180001001,Other
60750180001000,Other
60750178044003,Other
60750178044002,Other
60750178044001,Other
60750178044000,Other
60750178043007,Other
60750178043006,Other
60750178043005,Other
60750178043004,Other
60750178043003,Other
60750178043002,Other
60750178043001,Other
60750178043000,Other
60750178042002,Other
60750178042001,Other
60750178042000,Other
60750178041007,Other
60750178041006,Other
60750178041005,Other
60750178041004,Other
60750178041003,Other
60750178041002,Other
60750178041001,Other
60750178041000,Other
60750178032004,Other
60750178032003,Other
60750178032002,Other
60750178032001,Other
60750178032000,Other
60750178031005,Other
60750178031004,Other
60750178031003,Other
60750178031002,Other
60750178031001,Other
60750178031000,Other
60750178013003,Other
60750178013002,Other
60750178013001,Other
60750178013000,Other
60750178012002,Other
60750178012001,Other
60750178012000,Other
60750178011004,Other
60750178011003,Other
60750178011002,Other
60750178011001,Other
60750178011000,Other
60750177002015,Other
60750177002014,Other
60750177002013,Other
60750177002012,Other
60750177002011,Other
60750177002010,Other
60750177002009,Other
60750177002008,Other
60750177002007,Other
60750177002006,Other
60750177002005,Other
60750177002004,Other
60750177002003,Other
60750177002002,Other
60750177002001,Other
60750177002000,Other
60750177001019,Other
60750177001018,Other
60750177001010,Other
60750177001009,Other
60750177001007,Other
60750177001002,Other
60750177001001,Other
60750177001000,Other
60750176043001,Other
60750176043000,Other
60750176042000,Other
60750176041001,Other
60750176041000,Other
60750176034000,Other
60750176033007,Other
60750176033006,Other
60750176033005,Other
60750176033004,Other
60750176033003,Other
60750176033002,Other
60750176033001,Other
60750176033000,Other
60750176032003,Other
60750176032002,Other
60750176032001,Other
60750176032000,Other
60750176031003,Other
60750176031002,Other
60750176031001,Other
60750176031000,Other
60750176023008,Other
60750176023007,Other
60750176023006,Other
60750176023005,Other
60750176023004,Other
60750176023003,Other
60750176023002,Other
60750176023001,Other
60750176023000,Other
60750176022005,Other
60750176022004,Other
60750176022003,Other
60750176022002,Other
60750176022001,Other
60750176022000,Other
60750176021004,Other
60750176021003,Other
60750176021002,Other
60750176021001,Other
60750176021000,Other
60750105002010,Other
60750614021003,Potrero Hill
60750614021002,Potrero Hill
60750614021001,Potrero Hill
60750614021000,Potrero Hill
60750607021034,Potrero Hill
60750607021033,Potrero Hill
60750607021032,Potrero Hill
60750607021031,Potrero Hill
60750607021030,Potrero Hill
60750607021029,Potrero Hill
60750607021028,Potrero Hill
60750607021027,Potrero Hill
60750607021024,Potrero Hill
60750607021023,Potrero Hill
60750227043003,Potrero Hill
60750227043002,Potrero Hill
60750227043001,Potrero Hill
60750227043000,Potrero Hill
60750227042003,Potrero Hill
60750227042002,Potrero Hill
60750227042001,Potrero Hill
60750227042000,Potrero Hill
60750227041017,Potrero Hill
60750227041016,Potrero Hill
60750227041015,Potrero Hill
60750227041014,Potrero Hill
60750227041013,Potrero Hill
60750227041012,Potrero Hill
60750227041011,Potrero Hill
60750227041010,Potrero Hill
60750227041009,Potrero Hill
60750227041008,Potrero Hill
60750227041007,Potrero Hill
