case_number,plot,focal_node,focal_area_id,school_id,centroid_node,centroid_area_id,distance_to_centroid_miles,plot_radius_miles,closer_candidate_count
1,case_0001_block_60750102001003_school_562.png,48,60750102001003,562,142,60750104003012,1.1576368377108586,,0
2,case_0002_block_60750102001003_school_872.png,48,60750102001003,872,206,60750106002000,1.467203036434612,,0
3,case_0003_block_60750104002006_school_562.png,128,60750104002006,562,142,60750104003012,0.0879509064360118,,0
4,case_0004_block_60750117001027_school_478.png,407,60750117001027,478,4283,60750301022010,3.935601992489897,,0
5,case_0005_block_60750117001027_school_488.png,407,60750117001027,488,4863,60750309005018,5.612160223044703,,0
6,case_0006_block_60750117001027_school_539.png,407,60750117001027,539,5505,60750330002005,5.622054056654519,,0
7,case_0007_block_60750117001027_school_544.png,407,60750117001027,544,5762,60750351004006,5.945194171555384,,0
8,case_0008_block_60750117001027_school_589.png,407,60750117001027,589,1499,60750171022001,3.279455768955657,,0
9,case_0009_block_60750117001027_school_644.png,407,60750117001027,644,4319,60750302012005,4.540245563681566,,0
10,case_0010_block_60750117001027_school_650.png,407,60750117001027,650,1417,60750168022001,1.896931866574968,,0
11,case_0011_block_60750117001027_school_670.png,407,60750117001027,670,5647,60750332011002,6.120248328231595,,0
12,case_0012_block_60750117001027_school_718.png,407,60750117001027,718,1450,60750170001006,2.549845631039492,,0
13,case_0013_block_60750117001027_school_735.png,407,60750117001027,735,1320,60750165003002,2.9114940441269144,,0
14,case_0014_block_60750117001027_school_750.png,407,60750117001027,750,5849,60750353001001,5.990422832297286,,0
15,case_0015_block_60750117001027_school_782.png,407,60750117001027,782,5427,60750329011006,5.777630123452278,,0
16,case_0016_block_60750117001027_school_786.png,407,60750117001027,786,1171,60750159001003,1.5991750990765563,,0
17,case_0017_block_60750117001027_school_859.png,407,60750117001027,859,537,60750124022001,1.187472569414879,,0
18,case_0018_block_60750117001027_school_862.png,407,60750117001027,862,5874,60750353003005,6.494697997824942,,0
19,case_0019_block_60750117001027_school_876.png,407,60750117001027,876,4672,60750308001002,4.792807066887764,,0
20,case_0020_block_60750125011005_school_497.png,569,60750125011005,497,2594,60750227022009,1.6594210703683068,,0
21,case_0021_block_60750125011005_school_625.png,569,60750125011005,625,2895,60750231022004,3.7420219350584296,,0
22,case_0022_block_60750125011005_school_830.png,569,60750125011005,830,2905,60750231031006,3.5484185797544545,,0
23,case_0023_block_60750126022002_school_420.png,617,60750126022002,420,2297,60750212003004,3.5927722064028487,,0
24,case_0024_block_60750126022002_school_453.png,617,60750126022002,453,3058,60750234002018,6.342788940250046,,0
