Geoid20,Geoid20 (group),Count of ES Avg by Race,Geometry,Latitude (generated),Longitude (generated)
60750615083001,MBES,1,Polygon,37.783324563,-122.391822888
60750615083000,MBES,1,Polygon,37.784377169,-122.391529597
60750615082003,MBES,1,Polygon,37.784619446,-122.389191556
60750615082002,MBES,0,Polygon,37.785170555,-122.388848590
60750615082001,MBES,1,Polygon,37.785021655,-122.390406411
60750615082000,MBES,1,Polygon,37.785750616,-122.389638197
60750615081003,MBES,0,Polygon,37.783361316,-122.388359223
60750615081002,MBES,0,Polygon,37.786053416,-122.388368487
60750615081001,MBES,0,Polygon,37.784907617,-122.386991688
60750615072001,MBES,0,Polygon,37.788582047,-122.386326358
60750615071014,MBES,1,Polygon,37.788845717,-122.393833994
60750615071013,MBES,0,Polygon,37.789713827,-122.393231137
60750615071012,MBES,1,Polygon,37.790340759,-122.392190477
60750615071011,MBES,0,Polygon,37.791538792,-122.390736577
60750615071010,MBES,0,Polygon,37.788898865,-122.388389149
60750615071009,MBES,0,Polygon,37.792447495,-122.396564735
60750615071008,MBES,0,Polygon,37.790761862,-122.394541318
60750615071007,MBES,0,Polygon,37.791575788,-122.393733243
60750615071006,MBES,0,Polygon,37.793161889,-122.395660238
60750615071005,MBES,0,Polygon,37.793718546,-122.394558140
60750615071004,MBES,1,Polygon,37.792270984,-122.392853004
60750615071003,MBES,0,Polygon,37.792990376,-122.391827886
60750615071002,MBES,0,Polygon,37.790029122,-122.389474973
60750615071001,MBES,0,Polygon,37.791114641,-122.389546955
60750615063000,MBES,1,Polygon,37.787114677,-122.393354195
60750615062000,MBES,1,Polygon,37.787703514,-122.392384969
60750615061004,MBES,0,Polygon,37.786867403,-122.389655812
60750615061003,MBES,1,Polygon,37.788303140,-122.391507289
60750615061002,MBES,1,Polygon,37.787317640,-122.390152859
60750615061001,MBES,0,Polygon,37.788076833,-122.389235684
60750615061000,MBES,0,Polygon,37.787657253,-122.388386163
60750615051000,MBES,1,Polygon,37.788996812,-122.390688182
60750615042000,MBES,1,Polygon,37.785873309,-122.392240761
60750615041001,MBES,0,Polygon,37.785180307,-122.391804969
60750615041000,MBES,1,Polygon,37.785544971,-122.392524605
60750615033001,MBES,1,Polygon,37.783693006,-122.397548590
60750615033000,MBES,1,Polygon,37.784322132,-122.396408764
60750615032002,MBES,0,Polygon,37.785436297,-122.394984181
60750615032001,MBES,1,Polygon,37.786207985,-122.394391503
60750615032000,MBES,1,Polygon,37.786185190,-122.394478052
60750615031006,MBES,1,Polygon,37.784811804,-122.399093794
60750615031005,MBES,0,Polygon,37.786686991,-122.397818232
60750615031004,MBES,1,Polygon,37.785809921,-122.398183445
60750615031003,MBES,1,Polygon,37.786669132,-122.395874538
60750615031002,MBES,1,Polygon,37.787058054,-122.396243041
60750615031001,MBES,1,Polygon,37.787451791,-122.396745086
60750615031000,MBES,1,Polygon,37.788104017,-122.394918659
60750615022011,MBES,0,Polygon,37.781014498,-122.391570494
60750615022010,MBES,1,Polygon,37.780204412,-122.392819116
60750615022009,MBES,0,Polygon,37.780656783,-122.393848987
60750615022008,MBES,1,Polygon,37.780977746,-122.394382726
60750615022007,MBES,0,Polygon,37.781631251,-122.395124487
60750615022006,MBES,0,Polygon,37.781245011,-122.394717524
60750615022005,MBES,0,Polygon,37.781579261,-122.393952419
60750615022004,MBES,0,Polygon,37.781794841,-122.393056516
60750615022003,MBES,1,Polygon,37.782236119,-122.393478899
60750615022002,MBES,0,Polygon,37.782510272,-122.394013004
60750615022001,MBES,1,Polygon,37.782685198,-122.395315931
60750615022000,MBES,1,Polygon,37.783237771,-122.395866980
60750615021001,MBES,1,Polygon,37.781526966,-122.390755959
60750615021000,MBES,1,Polygon,37.782205766,-122.389362094
60750615013009,MBES,0,Polygon,37.787274487,-122.401036269
60750615013008,MBES,1,Polygon,37.787897579,-122.400499422
60750615013007,MBES,0,Polygon,37.787443624,-122.401404773
60750615013006,MBES,1,Polygon,37.786901169,-122.401839041
60750615013005,MBES,0,Polygon,37.787175383,-122.402317986
60750615013004,MBES,0,Polygon,37.787521822,-122.402985815
60750615013003,MBES,0,Polygon,37.788168136,-122.402789434
60750615013002,MBES,0,Polygon,37.787960906,-122.401917362
60750615013001,MBES,0,Polygon,37.788354033,-122.400927230
60750615013000,MBES,0,Polygon,37.788922758,-122.401615721
60750615012006,MBES,1,Polygon,37.786789021,-122.398881017
60750615012005,MBES,1,Polygon,37.786277894,-122.403929382
60750615012004,MBES,0,Polygon,37.785104242,-122.402123434
60750615012003,MBES,1,Polygon,37.786677178,-122.400943991
60750615012002,MBES,0,Polygon,37.786032754,-122.400260193
60750615012001,MBES,0,Polygon,37.787109374,-122.399280179
60750615012000,MBES,0,Polygon,37.787511766,-122.399882791
60750615011014,MBES,0,Polygon,37.788295400,-122.398999199
60750615011013,MBES,0,Polygon,37.788992423,-122.399748823
60750615011012,MBES,0,Polygon,37.789067148,-122.399062161
60750615011011,MBES,0,Polygon,37.789842737,-122.398422978
60750615011010,MBES,0,Polygon,37.789611736,-122.398127249
60750615011009,MBES,1,Polygon,37.789161986,-122.397902039
60750615011008,MBES,1,Polygon,37.788258525,-122.397838590
60750615011007,MBES,0,Polygon,37.787710097,-122.397618438
60750615011006,MBES,0,Polygon,37.789098537,-122.395860519
60750615011005,MBES,0,Polygon,37.790139258,-122.395538825
60750615011004,MBES,0,Polygon,37.789612711,-122.396631719
60750615011003,MBES,0,Polygon,37.790012604,-122.398792823
60750615011002,MBES,0,Polygon,37.790075626,-122.400039493
60750615011001,MBES,0,Polygon,37.790856091,-122.398359042
60750615011000,MBES,0,Polygon,37.791755530,-122.397440221
60750614021003,Webster,1,Polygon,37.759338798,-122.395816026
60750614021002,Webster,1,Polygon,37.758629523,-122.394780851
60750614021001,Webster,1,Polygon,37.758896728,-122.393736717
60750614021000,Webster,1,Polygon,37.759034109,-122.392488218
60750607033007,MBES,0,Polygon,37.773068389,-122.398997188
60750607033006,MBES,0,Polygon,37.772326933,-122.398142425
60750607033005,MBES,0,Polygon,37.771108360,-122.397716324
60750607033004,MBES,1,Polygon,37.772762359,-122.396020757
60750607033003,MBES,1,Polygon,37.773444329,-122.397500988
60750607033002,MBES,0,Polygon,37.774176886,-122.398291753
60750607033001,MBES,1,Polygon,37.774760239,-122.398704994
60750607033000,MBES,1,Polygon,37.774503456,-122.400024256
60750607032002,MBES,1,Polygon,37.774426781,-122.393866907
60750607032001,MBES,1,Polygon,37.775149221,-122.394765980
60750607032000,MBES,1,Polygon,37.775529671,-122.395844307
60750607031002,MBES,1,Polygon,37.776289778,-122.391513323
60750607031001,MBES,1,Polygon,37.776979671,-122.392627184
60750607031000,MBES,1,Polygon,37.777537180,-122.393357243
60750607021034,Webster,0,Polygon,37.765710874,-122.397313140
60750607021033,Webster,0,Polygon,37.765778711,-122.398313268
60750607021032,Webster,1,Polygon,37.765816134,-122.399235319
60750607021031,Webster,1,Polygon,37.765691796,-122.400119216
60750607021030,Webster,0,Polygon,37.765514981,-122.401177003
60750607021029,Webster,0,Polygon,37.765583001,-122.402211629
60750607021028,Webster,0,Polygon,37.765398993,-122.403104485
60750607021027,Webster,0,Polygon,37.765340542,-122.404072492
60750607021026,Webster,0,Polygon,37.766637009,-122.404193966
60750607021025,Webster,0,Polygon,37.766722339,-122.403197007
60750607021024,Webster,0,Polygon,37.765973020,-122.394321045
60750607021023,Webster,0,Polygon,37.765774993,-122.395748249
60750607021022,Webster,1,Polygon,37.766673274,-122.396097249
60750607021021,Webster,1,Polygon,37.766729165,-122.397252251
60750607021020,Webster,0,Polygon,37.766884892,-122.398523607
60750607021019,Webster,0,Polygon,37.766455500,-122.399595473
60750607021018,Webster,1,Polygon,37.766859110,-122.400283293
60750607021017,Webster,0,Polygon,37.766810533,-122.401298964
60750607021016,Webster,0,Polygon,37.766554361,-122.402374182
60750607021015,Webster,0,Polygon,37.768169596,-122.402352423
60750607021014,Webster,0,Polygon,37.767796826,-122.403455861
60750607021013,Webster,0,Polygon,37.767844428,-122.404207618
60750607021012,Webster,1,Polygon,37.768818104,-122.400805574
60750607021011,Webster,0,Polygon,37.768353482,-122.400079781
60750607021010,Webster,0,Polygon,37.767599835,-122.399260187
60750607021009,Webster,0,Polygon,37.769288759,-122.402455246
60750607021008,Webster,1,Polygon,37.769301376,-122.403521139
60750607021007,Webster,0,Polygon,37.769209463,-122.404290145
60750607021006,Webster,0,Polygon,37.769875708,-122.403897322
60750607021005,Webster,1,Polygon,37.769834627,-122.401638516
60750607021004,Webster,1,Polygon,37.770296628,-122.402636145
60750607021003,Webster,0,Polygon,37.768988276,-122.397630446
60750607021002,Webster,0,Polygon,37.770806840,-122.398434802
60750607021001,Webster,1,Polygon,37.771592729,-122.399669283
60750607021000,Webster,0,Polygon,37.771572372,-122.400023524
60750607013015,MBES,0,Polygon,37.767150695,-122.394673945
60750607013014,MBES,0,Polygon,37.769212450,-122.396539807
60750607013013,MBES,0,Polygon,37.770614909,-122.396886917
60750607013012,MBES,0,Polygon,37.773028711,-122.394147155
60750607013011,MBES,0,Polygon,37.775054627,-122.391026394
60750607013010,MBES,1,Polygon,37.771697259,-122.388596989
60750607013009,MBES,0,Polygon,37.770971466,-122.388342766
60750607013008,MBES,0,Polygon,37.769739484,-122.388587907
60750607013007,MBES,0,Polygon,37.767671695,-122.386827855
60750607013006,MBES,0,Polygon,37.772332113,-122.388231228
60750607013005,MBES,0,Polygon,37.771750346,-122.387291318
60750607013004,MBES,0,Polygon,37.771050153,-122.387316369
60750607013003,MBES,0,Polygon,37.774729581,-122.388146934
60750607013002,MBES,0,Polygon,37.769777578,-122.386924887
60750607013001,MBES,0,Polygon,37.779058370,-122.386146556
60750607012015,MBES,0,Polygon,37.767875756,-122.390133903
60750607012014,MBES,1,Polygon,37.769222019,-122.390078256
60750607012013,MBES,1,Polygon,37.768619224,-122.393670343
60750607012012,MBES,0,Polygon,37.770073003,-122.391959233
60750607012011,MBES,0,Polygon,37.770485085,-122.390308525
60750607012010,MBES,1,Polygon,37.770704383,-122.390442554
60750607012009,MBES,1,Polygon,37.771552685,-122.390321568
60750607012008,MBES,1,Polygon,37.772358017,-122.390393306
60750607012007,MBES,1,Polygon,37.772460352,-122.392093384
60750607012006,MBES,1,Polygon,37.771467355,-122.392146350
60750607012005,MBES,1,Polygon,37.770786544,-122.391652289
60750607012004,MBES,0,Polygon,37.771889129,-122.395094195
60750607012003,MBES,1,Polygon,37.771214900,-122.393909998
60750607012002,MBES,1,Polygon,37.769829568,-122.394617688
60750607012001,MBES,1,Polygon,37.773513873,-122.392059313
60750607012000,MBES,1,Polygon,37.773639551,-122.390990677
60750607011002,MBES,1,Polygon,37.779408345,-122.390989580
60750607011001,MBES,0,Polygon,37.780283647,-122.389068010
60750607011000,MBES,1,Polygon,37.781137130,-122.389102203
60750227043003,Webster,0,Polygon,37.760452841,-122.401589695
60750227043002,Webster,0,Polygon,37.760266334,-122.400664353
60750227043001,Webster,0,Polygon,37.760401034,-122.399814771
60750227043000,Webster,0,Polygon,37.760525189,-122.398663365
60750227042003,Webster,1,Polygon,37.758835473,-122.404559970
60750227042002,Webster,1,Polygon,37.760294189,-122.404635365
60750227042001,Webster,1,Polygon,37.760225498,-122.403590987
60750227042000,Webster,1,Polygon,37.760283766,-122.402625479
60750227041017,Webster,1,Polygon,37.761348318,-122.405891788
60750227041016,Webster,0,Polygon,37.761315588,-122.404734592
60750227041015,Webster,0,Polygon,37.761502522,-122.403713985
60750227041014,Webster,1,Polygon,37.761560729,-122.402748232
60750227041013,Webster,0,Polygon,37.761409329,-122.401750298
60750227041012,Webster,1,Polygon,37.761736996,-122.399832507
60750227041011,Webster,1,Polygon,37.762914184,-122.399464369
60750227041010,Webster,0,Polygon,37.763057600,-122.401029016
60750227041009,Webster,0,Polygon,37.763010973,-122.401802410
60750227041008,Webster,0,Polygon,37.762828001,-122.403018484
60750227041007,Webster,1,Polygon,37.762788505,-122.403661994
60750227041006,Webster,1,Polygon,37.762681660,-122.405204090
60750227041005,Webster,0,Polygon,37.763898100,-122.404913602
60750227041004,Webster,0,Polygon,37.764053522,-122.403951994
60750227041003,Webster,1,Polygon,37.764113009,-122.402986242
60750227041002,Webster,0,Polygon,37.764171034,-122.402020977
60750227041001,Webster,1,Polygon,37.764229241,-122.401056261
60750227041000,Webster,0,Polygon,37.764444577,-122.399618390
60750227022011,Webster,1,Polygon,37.760960920,-122.392617005
60750227022010,Webster,1,Polygon,37.760809277,-122.393919750
60750227022009,Webster,1,Polygon,37.760750521,-122.394894767
60750227022008,Webster,1,Polygon,37.760692253,-122.395860519
60750227022007,Webster,1,Polygon,37.760633741,-122.396827491
60750227022006,Webster,1,Polygon,37.760571633,-122.397890580
60750227022005,Webster,1,Polygon,37.761852497,-122.397916484
60750227022004,Webster,1,Polygon,37.761910765,-122.396949756
60750227022003,Webster,1,Polygon,37.761969277,-122.395982724
60750227022002,Webster,1,Polygon,37.762027484,-122.395017033
60750227022001,Webster,1,Polygon,37.762086240,-122.394042503
60750227022000,Webster,1,Polygon,37.762167181,-122.392812533
60750227021011,Webster,0,Polygon,37.763419520,-122.393022810
60750227021010,Webster,0,Polygon,37.763346563,-122.394062007
60750227021009,Webster,1,Polygon,37.763301278,-122.395136738
60750227021008,Webster,1,Polygon,37.763243985,-122.396103771
60750227021007,Webster,1,Polygon,37.763186509,-122.397070011
60750227021006,Webster,0,Polygon,37.763128484,-122.398037226
60750227021005,Webster,1,Polygon,37.764403984,-122.398158211
60750227021004,Webster,0,Polygon,37.764461765,-122.397191484
60750227021003,Webster,1,Polygon,37.764519241,-122.396226219
60750227021002,Webster,1,Polygon,37.764577021,-122.395256749
60750227021001,Webster,1,Polygon,37.764634985,-122.394278989
60750227021000,Webster,0,Polygon,37.764640409,-122.393270755
60750226002018,MBES,0,Polygon,37.760779472,-122.390973672
60750226002017,MBES,0,Polygon,37.760959519,-122.392010492
60750226002016,MBES,1,Polygon,37.762209542,-122.392160246
60750226002015,MBES,1,Polygon,37.762260496,-122.391117270
60750226002014,MBES,0,Polygon,37.762318764,-122.390152981
60750226002013,MBES,1,Polygon,37.760826465,-122.390026997
60750226002012,MBES,1,Polygon,37.761107810,-122.388972502
60750226002011,MBES,0,Polygon,37.761086843,-122.388365623
60750226002010,MBES,1,Polygon,37.762424878,-122.388308330
60750226002009,MBES,1,Polygon,37.762376240,-122.389217216
60750226002008,MBES,1,Polygon,37.763661187,-122.389163031
60750226002007,MBES,0,Polygon,37.763593289,-122.390275003
60750226002006,MBES,1,Polygon,37.763534533,-122.391238987
60750226002005,MBES,0,Polygon,37.763466574,-122.392339317
60750226002004,MBES,0,Polygon,37.765571908,-122.391966182
60750226002003,MBES,0,Polygon,37.765236988,-122.388621308
60750226002002,MBES,1,Polygon,37.763757000,-122.388561394
60750226002001,MBES,0,Polygon,37.759743871,-122.383342004
60750226001018,MBES,0,Polygon,37.753720246,-122.383163725
60750226001017,MBES,0,Polygon,37.753557266,-122.386392489
60750226001016,MBES,0,Polygon,37.753580427,-122.387521466
60750226001012,MBES,0,Polygon,37.755783525,-122.390025534
60750226001009,MBES,1,Polygon,37.754678136,-122.387622582
60750226001008,MBES,0,Polygon,37.757073287,-122.387865894
60750226001007,MBES,1,Polygon,37.756376812,-122.388693655
60750226001006,MBES,0,Polygon,37.757060853,-122.390145484
60750226001004,MBES,1,Polygon,37.758701992,-122.391879206
60750226001003,MBES,1,Polygon,37.758895021,-122.390892243
60750226001002,MBES,1,Polygon,37.759376404,-122.389797033
60750226001001,MBES,1,Polygon,37.759185265,-122.388938004
60750226001000,MBES,0,Polygon,37.759116147,-122.388144374
60750201011007,Webster,0,Polygon,37.770302418,-122.418732790
60750201011006,Webster,1,Polygon,37.772006702,-122.418770640
60750180004021,Webster,0,Polygon,37.769628190,-122.408287366
60750180004020,Webster,0,Polygon,37.769933427,-122.408475640
60750180004019,Webster,1,Polygon,37.770419198,-122.408159432
60750180004018,Webster,1,Polygon,37.770096590,-122.411111971
60750180004017,Webster,0,Polygon,37.771200029,-122.410206498
60750180004016,Webster,1,Polygon,37.771684215,-122.409500575
60750180004015,MBES,1,Polygon,37.772707992,-122.408547318
60750180004014,Webster,0,Polygon,37.771537996,-122.406934216
60750180004013,Webster,0,Polygon,37.771529463,-122.406150399
60750180004012,Webster,1,Polygon,37.772832939,-122.404887333
60750180004011,MBES,0,Polygon,37.774265630,-122.406924951
60750180004010,MBES,0,Polygon,37.774192916,-122.406129127
60750180004009,Webster,1,Polygon,37.773076374,-122.404185067
60750180004008,MBES,0,Polygon,37.774017015,-122.403842833
60750180004007,MBES,0,Polygon,37.774293971,-122.402994165
60750180004006,MBES,0,Polygon,37.774758715,-122.402636450
60750180004005,MBES,1,Polygon,37.775279776,-122.402220040
60750180004004,MBES,0,Polygon,37.776167513,-122.403232480
60750180004003,MBES,0,Polygon,37.776580022,-122.403746288
60750180004002,MBES,1,Polygon,37.775280203,-122.404547293
60750180004001,MBES,0,Polygon,37.775868553,-122.405251752
60750180004000,MBES,0,Polygon,37.776824675,-122.404049148
60750180003002,Webster,0,Polygon,37.770039663,-122.405410649
60750180003001,Webster,1,Polygon,37.771884009,-122.403644806
60750180003000,Webster,1,Polygon,37.773856046,-122.401259529
60750180002014,MBES,1,Polygon,37.776515049,-122.396475017
60750180002013,MBES,0,Polygon,37.777133509,-122.397249752
60750180002012,MBES,0,Polygon,37.777197750,-122.403379430
60750180002011,MBES,0,Polygon,37.776724717,-122.402865500
60750180002010,MBES,0,Polygon,37.777020751,-122.402104966
60750180002009,MBES,0,Polygon,37.777602519,-122.402838987
60750180002008,MBES,0,Polygon,37.777985102,-122.402137270
60750180002007,MBES,0,Polygon,37.777752090,-122.401197299
60750180002006,MBES,0,Polygon,37.776361029,-122.400769613
60750180002005,MBES,1,Polygon,37.778216590,-122.398286877
60750180002004,MBES,0,Polygon,37.778409496,-122.401521187
60750180002003,MBES,0,Polygon,37.779427117,-122.400490157
60750180002002,MBES,0,Polygon,37.779299488,-122.399682936
60750180002001,MBES,1,Polygon,37.780927828,-122.397482032
60750180002000,MBES,1,Polygon,37.781525198,-122.398252806
60750180001007,MBES,1,Polygon,37.779215804,-122.393848622
60750180001006,MBES,0,Polygon,37.778429976,-122.394168182
60750180001005,MBES,1,Polygon,37.778474774,-122.394632804
60750180001004,MBES,0,Polygon,37.779023750,-122.396183006
60750180001003,MBES,1,Polygon,37.779424984,-122.396685538
60750180001002,MBES,0,Polygon,37.779830484,-122.397187766
60750180001001,MBES,0,Polygon,37.780032838,-122.395918848
60750180001000,MBES,1,Polygon,37.780583582,-122.395225542
60750178044003,MBES,1,Polygon,37.778754778,-122.404749525
60750178044002,MBES,0,Polygon,37.778273822,-122.403110275
60750178044001,MBES,0,Polygon,37.779107983,-122.403304888
60750178044000,MBES,0,Polygon,37.779634774,-122.403635481
60750178043007,MBES,0,Polygon,37.774254415,-122.408328385
60750178043006,MBES,1,Polygon,37.775268744,-122.408533299
60750178043005,MBES,1,Polygon,37.776023549,-122.407427240
60750178043004,MBES,0,Polygon,37.776236508,-122.406383228
60750178043003,MBES,0,Polygon,37.776846983,-122.407238173
60750178043002,MBES,0,Polygon,37.777105350,-122.406169659
60750178043001,MBES,1,Polygon,37.777415341,-122.405441307
60750178043000,MBES,1,Polygon,37.777695285,-122.405084506
60750178042002,MBES,1,Polygon,37.779724858,-122.404531507
60750178042001,MBES,1,Polygon,37.780008519,-122.405278997
60750178042000,MBES,1,Polygon,37.780501787,-122.405768608
60750178041007,MBES,1,Polygon,37.775919995,-122.410800029
60750178041006,MBES,1,Polygon,37.775912985,-122.410068934
60750178041005,MBES,1,Polygon,37.776498410,-122.409226300
60750178041004,MBES,1,Polygon,37.776998017,-122.408803186
60750178041003,MBES,0,Polygon,37.777579480,-122.408338991
60750178041002,MBES,1,Polygon,37.777896968,-122.407627582
60750178041001,MBES,1,Polygon,37.778349400,-122.407054592
60750178041000,MBES,1,Polygon,37.778983706,-122.406567662
60750178032004,Webster,0,Polygon,37.771776554,-122.412538139
60750178032003,Webster,1,Polygon,37.773049495,-122.411719825
60750178032002,Webster,1,Polygon,37.772250989,-122.410924428
60750178032001,MBES,1,Polygon,37.773477120,-122.409804655
60750178032000,MBES,0,Polygon,37.774052792,-122.410594383
60750178031005,Webster,1,Polygon,37.772816239,-122.414169648
60750178031004,Webster,0,Polygon,37.773765657,-122.413482132
60750178031003,Webster,1,Polygon,37.774283854,-122.412735556
60750178031002,MBES,1,Polygon,37.774783156,-122.411061504
60750178031001,MBES,1,Polygon,37.775049507,-122.411398679
60750178031000,MBES,1,Polygon,37.775393021,-122.412115756
60750178013003,MBES,1,Polygon,37.781497222,-122.399847623
60750178013002,MBES,0,Polygon,37.781713412,-122.400267629
60750178013001,MBES,0,Polygon,37.782007495,-122.399685984
60750178013000,MBES,0,Polygon,37.782601758,-122.398879372
60750178012002,MBES,1,Polygon,37.780041005,-122.401210403
60750178012001,MBES,1,Polygon,37.780210812,-122.401839102
60750178012000,MBES,1,Polygon,37.780924292,-122.402081561
60750178011004,MBES,0,Polygon,37.781313031,-122.403625485
60750178011003,MBES,0,Polygon,37.781236112,-122.402951561
60750178011002,MBES,0,Polygon,37.782102273,-122.403144590
60750178011001,MBES,0,Polygon,37.781333998,-122.402579584
60750178011000,MBES,0,Polygon,37.783496138,-122.400585361
60750177002015,Webster,0,Polygon,37.769818415,-122.413593122
60750177002014,Webster,1,Polygon,37.769878328,-122.414361701
60750177002013,Webster,1,Polygon,37.769953175,-122.415040197
60750177002012,Webster,1,Polygon,37.770564869,-122.413850575
60750177002011,Webster,1,Polygon,37.770961836,-122.413280632
60750177002010,Webster,0,Polygon,37.771907231,-122.415033797
60750177002009,Webster,1,Polygon,37.770468324,-122.416945858
60750177002008,Webster,0,Polygon,37.771209659,-122.417753446
60750177002007,Webster,1,Polygon,37.772583227,-122.417791539
60750177002006,Webster,0,Polygon,37.772280306,-122.415832790
60750177002005,Webster,0,Polygon,37.772976477,-122.416220493
60750177002004,Webster,1,Polygon,37.773347479,-122.416760997
60750177002003,Webster,0,Polygon,37.773818013,-122.417332830
60750177002002,Webster,0,Polygon,37.773587317,-122.417978290
60750177002001,Webster,0,Polygon,37.774175302,-122.418957147
60750177002000,Webster,1,Polygon,37.774641874,-122.418381901
60750177001025,Webster,0,Polygon,37.765356084,-122.405009537
60750177001019,Webster,1,Polygon,37.767845159,-122.405365668
60750177001018,Webster,0,Polygon,37.766639812,-122.405137654
60750177001010,Webster,0,Polygon,37.769584793,-122.410054306
60750177001009,Webster,0,Polygon,37.769413768,-122.409890472
60750177001007,Webster,0,Polygon,37.769281080,-122.412256550
60750177001002,Webster,0,Polygon,37.769444852,-122.407264199
60750177001001,Webster,0,Polygon,37.768935554,-122.406830235
60750177001000,Webster,0,Polygon,37.769156376,-122.405509449
60750176043001,MBES,1,Polygon,37.780481978,-122.410339673
60750176043000,MBES,0,Polygon,37.781372884,-122.411087956
60750176042000,MBES,1,Polygon,37.778880213,-122.413400459
60750176041001,MBES,1,Polygon,37.778511344,-122.412851361
60750176041000,MBES,1,Polygon,37.779149490,-122.411937233
60750176034000,Webster,1,Polygon,37.775688080,-122.417298637
60750176033007,Webster,0,Polygon,37.773788026,-122.415235785
60750176033006,Webster,1,Polygon,37.774147387,-122.415885816
60750176033005,Webster,1,Polygon,37.774465180,-122.416285405
60750176033004,Webster,0,Polygon,37.774778585,-122.414928292
60750176033003,Webster,0,Polygon,37.774980207,-122.414404001
