nohup: ignoring input
Generated 144 benchmark task(s).
[1/144] ok=1 failed=0 skipped=0
[2/144] ok=2 failed=0 skipped=0
[3/144] ok=3 failed=0 skipped=0
[4/144] ok=4 failed=0 skipped=0
[5/144] ok=5 failed=0 skipped=0
[6/144] ok=6 failed=0 skipped=0
[7/144] ok=7 failed=0 skipped=0
[8/144] ok=8 failed=0 skipped=0
[9/144] ok=9 failed=0 skipped=0
[10/144] ok=10 failed=0 skipped=0
[11/144] ok=11 failed=0 skipped=0
[12/144] ok=12 failed=0 skipped=0
[13/144] ok=13 failed=0 skipped=0
[14/144] ok=14 failed=0 skipped=0
[15/144] ok=15 failed=0 skipped=0
[16/144] ok=16 failed=0 skipped=0
[17/144] ok=17 failed=0 skipped=0
[18/144] ok=18 failed=0 skipped=0
[19/144] ok=19 failed=0 skipped=0
[20/144] ok=20 failed=0 skipped=0
[21/144] ok=21 failed=0 skipped=0
[22/144] ok=22 failed=0 skipped=0
[23/144] ok=23 failed=0 skipped=0
[24/144] ok=24 failed=0 skipped=0
[25/144] ok=25 failed=0 skipped=0
[26/144] ok=26 failed=0 skipped=0
[27/144] ok=27 failed=0 skipped=0
[28/144] ok=28 failed=0 skipped=0
[29/144] ok=29 failed=0 skipped=0
[30/144] ok=30 failed=0 skipped=0
[31/144] ok=31 failed=0 skipped=0
[32/144] ok=32 failed=0 skipped=0
[33/144] ok=33 failed=0 skipped=0
[34/144] ok=34 failed=0 skipped=0
[35/144] ok=35 failed=0 skipped=0
[36/144] ok=36 failed=0 skipped=0
[37/144] ok=37 failed=0 skipped=0
[38/144] ok=38 failed=0 skipped=0
[39/144] ok=39 failed=0 skipped=0
[40/144] ok=40 failed=0 skipped=0
[41/144] ok=41 failed=0 skipped=0
[42/144] ok=42 failed=0 skipped=0
[43/144] ok=43 failed=0 skipped=0
[44/144] ok=44 failed=0 skipped=0
[45/144] ok=45 failed=0 skipped=0
[46/144] ok=46 failed=0 skipped=0
[47/144] ok=46 failed=1 skipped=0
[48/144] ok=46 failed=2 skipped=0
[49/144] ok=47 failed=2 skipped=0
[50/144] ok=47 failed=3 skipped=0
[51/144] ok=47 failed=4 skipped=0
[52/144] ok=48 failed=4 skipped=0
[53/144] ok=48 failed=5 skipped=0
[54/144] ok=48 failed=6 skipped=0
[55/144] ok=49 failed=6 skipped=0
[56/144] ok=49 failed=7 skipped=0
[57/144] ok=49 failed=8 skipped=0
[58/144] ok=50 failed=8 skipped=0
[59/144] ok=50 failed=9 skipped=0
[60/144] ok=50 failed=10 skipped=0
[61/144] ok=51 failed=10 skipped=0
[62/144] ok=51 failed=11 skipped=0
[63/144] ok=51 failed=12 skipped=0
[64/144] ok=52 failed=12 skipped=0
[65/144] ok=52 failed=13 skipped=0
[66/144] ok=52 failed=14 skipped=0
[67/144] ok=53 failed=14 skipped=0
[68/144] ok=53 failed=15 skipped=0
[69/144] ok=53 failed=16 skipped=0
[70/144] ok=54 failed=16 skipped=0
[71/144] ok=54 failed=17 skipped=0
[72/144] ok=54 failed=18 skipped=0
[73/144] ok=55 failed=18 skipped=0
[74/144] ok=55 failed=19 skipped=0
[75/144] ok=55 failed=20 skipped=0
[76/144] ok=56 failed=20 skipped=0
[77/144] ok=56 failed=21 skipped=0
[78/144] ok=56 failed=22 skipped=0
[79/144] ok=57 failed=22 skipped=0
[80/144] ok=57 failed=23 skipped=0
[81/144] ok=57 failed=24 skipped=0
[82/144] ok=58 failed=24 skipped=0
[83/144] ok=58 failed=25 skipped=0
[84/144] ok=58 failed=26 skipped=0
[85/144] ok=59 failed=26 skipped=0
[86/144] ok=59 failed=27 skipped=0
[87/144] ok=59 failed=28 skipped=0
[88/144] ok=60 failed=28 skipped=0
[89/144] ok=60 failed=29 skipped=0
[90/144] ok=60 failed=30 skipped=0
[91/144] ok=61 failed=30 skipped=0
[92/144] ok=61 failed=31 skipped=0
[93/144] ok=61 failed=32 skipped=0
[94/144] ok=62 failed=32 skipped=0
[95/144] ok=63 failed=32 skipped=0
[96/144] ok=64 failed=32 skipped=0
[97/144] ok=65 failed=32 skipped=0
[98/144] ok=66 failed=32 skipped=0
[99/144] ok=67 failed=32 skipped=0
[100/144] ok=68 failed=32 skipped=0
[101/144] ok=69 failed=32 skipped=0
[102/144] ok=70 failed=32 skipped=0
[103/144] ok=71 failed=32 skipped=0
[104/144] ok=72 failed=32 skipped=0
[105/144] ok=73 failed=32 skipped=0
[106/144] ok=74 failed=32 skipped=0
[107/144] ok=75 failed=32 skipped=0
[108/144] ok=76 failed=32 skipped=0
[109/144] ok=77 failed=32 skipped=0
[110/144] ok=78 failed=32 skipped=0
[111/144] ok=79 failed=32 skipped=0
[112/144] ok=80 failed=32 skipped=0
[113/144] ok=81 failed=32 skipped=0
[114/144] ok=82 failed=32 skipped=0
[115/144] ok=83 failed=32 skipped=0
[116/144] ok=84 failed=32 skipped=0
[117/144] ok=85 failed=32 skipped=0
[118/144] ok=86 failed=32 skipped=0
[119/144] ok=87 failed=32 skipped=0
[120/144] ok=88 failed=32 skipped=0
[121/144] ok=89 failed=32 skipped=0
[122/144] ok=90 failed=32 skipped=0
[123/144] ok=91 failed=32 skipped=0
[124/144] ok=92 failed=32 skipped=0
[125/144] ok=93 failed=32 skipped=0
[126/144] ok=94 failed=32 skipped=0
[127/144] ok=95 failed=32 skipped=0
[128/144] ok=96 failed=32 skipped=0
[129/144] ok=97 failed=32 skipped=0
[130/144] ok=98 failed=32 skipped=0
[131/144] ok=99 failed=32 skipped=0
[132/144] ok=100 failed=32 skipped=0
[133/144] ok=101 failed=32 skipped=0
[134/144] ok=102 failed=32 skipped=0
[135/144] ok=103 failed=32 skipped=0
[136/144] ok=104 failed=32 skipped=0
[137/144] ok=105 failed=32 skipped=0
[138/144] ok=106 failed=32 skipped=0
[139/144] ok=107 failed=32 skipped=0
[140/144] ok=108 failed=32 skipped=0
[141/144] ok=109 failed=32 skipped=0
[142/144] ok=110 failed=32 skipped=0
[143/144] ok=111 failed=32 skipped=0
[144/144] ok=112 failed=32 skipped=0
Completed 112/144; failed=32, skipped=0, wall=88.5 min
Aggregated 144 run row(s) and 208 stage row(s) under /share/data/school_choice/local_runs/6-18-test/.
